entity,class,kb_id,link_confidence,mentions
alpha-Synuclein,GENE_OR_GENE_PRODUCT,C0285890,1.0,119
ascorbic acid,SIMPLE_CHEMICAL,C0003968,1.0,78
Lewy Bodies,CELLULAR_COMPONENT,C0085200,0.8892912268638611,68
Parkinson Disease,CANCER,C0030567,1.0,66
Ubiquitin,GENE_OR_GENE_PRODUCT,C0041538,1.0,44
Amyloid beta-Peptides,GENE_OR_GENE_PRODUCT,C0078939,0.8447555899620056,43
Alzheimer's Disease,CANCER,C0002395,1.0,40
PARK7 gene,GENE_OR_GENE_PRODUCT,C1424222,1.0,34
PINK1 gene,GENE_OR_GENE_PRODUCT,C1422771,1.0,34
dopamine,SIMPLE_CHEMICAL,C0013030,1.0,31
Mitochondria,CELLULAR_COMPONENT,C0026237,1.0,30
Substantia nigra structure,TISSUE,C0038590,1.0,23
LRRK2 gene,GENE_OR_GENE_PRODUCT,C1425650,1.0,20
levodopa,SIMPLE_CHEMICAL,C0023570,0.9999999403953552,19
UCHL1 gene,GENE_OR_GENE_PRODUCT,C1421309,0.9137439131736755,19
"PARK2 protein, human",ORGANISM,C1311470,1.0,18
Brain,ORGAN,C0006104,0.9999998807907104,18
Corticobasal Degeneration,CELLULAR_COMPONENT,C0393570,0.7854723334312439,15
Apolipoprotein E,GENE_OR_GENE_PRODUCT,C0003595,1.0,15
Neurofibrillary degeneration (morphologic abnormality),CELLULAR_COMPONENT,C0085400,1.0,14
Reactive Oxygen Species,SIMPLE_CHEMICAL,C0162772,1.0,13
Choose (action),ORGANISM,C1707391,1.0,12
Microglia,CELLULAR_COMPONENT,C0206116,1.0,12
cholesterol,SIMPLE_CHEMICAL,C0008377,1.0,12
amyloid-beta binding,GENE_OR_GENE_PRODUCT,C1149161,0.8892691135406494,12
iron,SIMPLE_CHEMICAL,C0302583,1.0,12
Neurons,CELLULAR_COMPONENT,C0027882,1.0,11
"DNA, Mitochondrial",CELLULAR_COMPONENT,C0012929,1.0,11
Amyloid,GENE_OR_GENE_PRODUCT,C0002716,1.0,11
Cholinesterases,SIMPLE_CHEMICAL,C0008429,1.0,10
CENTRAL NERVOUS SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS,ANATOMICAL_SYSTEM,C3540014,1.0,10
"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine",SIMPLE_CHEMICAL,C0000097,1.0,9
Blood Vessel,MULTI_TISSUE_STRUCTURE,C0005847,1.0,8
Synphilin-1,GENE_OR_GENE_PRODUCT,C3541909,0.9999999403953552,8
Pars Compacta,TISSUE,C0175412,1.0,8
APP wt Allele,ORGANISM,C1705543,1.0,8
DNA,CELLULAR_COMPONENT,C0012854,0.9999999403953552,8
PTEN gene,GENE_OR_GENE_PRODUCT,C0694888,1.0,7
Structure of putamen,ORGANISM,C0034169,0.9999999403953552,7
Presenilins,GENE_OR_GENE_PRODUCT,C0872078,1.0,6
APP gene,GENE_OR_GENE_PRODUCT,C1364818,1.0,6
calcium,SIMPLE_CHEMICAL,C0006675,0.9999999403953552,6
NADH dehydrogenase (ubiquinone),CELLULAR_COMPONENT,C0171406,1.0,6
acetylcholinesterase,GENE_OR_GENE_PRODUCT,C0001044,1.0,6
glutathione,SIMPLE_CHEMICAL,C0017817,1.0,6
Gaucher Disease,CANCER,C0017205,1.0,6
nitric oxide,GENE_OR_GENE_PRODUCT,C0028128,0.9999999403953552,5
Glutamates,GENE_OR_GENE_PRODUCT,C0017789,1.0,5
Microtubules,CELLULAR_COMPONENT,C0026046,1.0,5
Malignant Neoplasms,CANCER,C0006826,0.9999998807907104,5
homocysteine,SIMPLE_CHEMICAL,C0019878,1.0,5
uridine triacetate,GENE_OR_GENE_PRODUCT,C0281351,1.0,5
Basal Ganglia,ANATOMICAL_SYSTEM,C0004781,1.0,5
"Anti-Inflammatory Agents, Non-Steroidal",GENE_OR_GENE_PRODUCT,C0003211,1.0,5
PRKN gene,GENE_OR_GENE_PRODUCT,C1418270,0.9999999403953552,4
Huntington Disease,CANCER,C0020179,1.0,4
"PARK7 protein, human",GENE_OR_GENE_PRODUCT,C0537311,0.9999998807907104,4
Endoplasmic Reticulum,CELLULAR_COMPONENT,C0014239,1.0,4
"Drosophila <fruit fly, genus>",ORGANISM,C0013138,1.0,4
Adrenal Cortex Diseases,CANCER,C0001614,1.0,4
Hydroxymethylglutaryl-CoA Reductase Inhibitors,SIMPLE_CHEMICAL,C0360714,1.0,4
Proto-Oncogene Proteins c-akt,GENE_OR_GENE_PRODUCT,C0164786,1.0,4
Lewy Neurites,TISSUE,C3548404,1.0,4
NR4A2 gene,GENE_OR_GENE_PRODUCT,C1417836,1.0,4
Dopaminergic Neurons,ORGANISM,C1512035,1.0,4
Presenilin-1,GENE_OR_GENE_PRODUCT,C0299212,0.9999998807907104,4
caspase-3,GENE_OR_GENE_PRODUCT,C0291573,1.0,4
manganese,SIMPLE_CHEMICAL,C0024706,1.0,4
Oxidopamine,SIMPLE_CHEMICAL,C0085196,1.0,4
Lipids,SIMPLE_CHEMICAL,C0023779,1.0,4
Caudate nucleus structure,TISSUE,C0007461,1.0,4
Cerebrospinal Fluid,PATHOLOGICAL_FORMATION,C0007806,1.0,4
Apolipoprotein E2,GENE_OR_GENE_PRODUCT,C0052198,0.7485668659210205,4
Glutathione S-Transferase,GENE_OR_GENE_PRODUCT,C0017837,1.0,4
4-hydroxy-2-nonenal,SIMPLE_CHEMICAL,C0048297,1.0,3
ubiquitin C-terminal hydrolase,GENE_OR_GENE_PRODUCT,C0164005,0.8382722735404968,3
Neocortex,ORGANISM,C0175173,1.0,3
B3GAT1 gene,GENE_OR_GENE_PRODUCT,C1412716,0.7043194770812988,3
Neoplasms,CANCER,C0027651,1.0,3
N-Methylaspartate,SIMPLE_CHEMICAL,C0079883,1.0,3
26S proteasome,GENE_OR_GENE_PRODUCT,C0286330,0.9999999403953552,3
Astrocytes,CELL,C0004112,1.0,3
vitamin E,SIMPLE_CHEMICAL,C0042874,1.0,3
Cytochromes c,GENE_OR_GENE_PRODUCT,C0010749,1.0,3
rotenone,SIMPLE_CHEMICAL,C0035871,1.0,3
folic acid,SIMPLE_CHEMICAL,C0016410,1.0,3
beta-Synuclein,GENE_OR_GENE_PRODUCT,C0245467,1.0,3
Prostaglandin-Endoperoxide Synthase,GENE_OR_GENE_PRODUCT,C0033551,0.9999998807907104,3
TNF gene,GENE_OR_GENE_PRODUCT,C0812246,1.0,3
"interleukin-1, beta",GENE_OR_GENE_PRODUCT,C0021753,1.0,3
Neuroglia,CELL,C0027836,1.0,3
hydrogen peroxide,SIMPLE_CHEMICAL,C0020281,0.9999999403953552,3
Cell body of neuron,CELL,C0599444,0.859292209148407,3
"PSEN1 protein, human",GENE_OR_GENE_PRODUCT,C1311407,1.0,3
Hippocampus (Brain),CELL,C0019564,0.8360856771469116,3
Disease,CANCER,C0012634,1.0,3
MG 132,SIMPLE_CHEMICAL,C0246694,1.0,3
Cerebral cortex,PATHOLOGICAL_FORMATION,C0007776,1.0,3
frontal lobe,CANCER,C0016733,0.9999999403953552,3
CHRNA3 gene,GENE_OR_GENE_PRODUCT,C1413403,0.7732060551643372,3
"Neuronal Acetylcholine Receptor Subunit Beta-4, Human",GENE_OR_GENE_PRODUCT,C2698455,0.7936656475067139,3
brain-derived neurotrophic factor,GENE_OR_GENE_PRODUCT,C0107103,1.0,3
SNCA gene,GENE_OR_GENE_PRODUCT,C1420276,1.0,2
adenosine triphosphate,SIMPLE_CHEMICAL,C0001480,1.0,2
interleukin-6,GENE_OR_GENE_PRODUCT,C0021760,1.0,2
"Liposarcoma, Dedifferentiated",GENE_OR_GENE_PRODUCT,C0205824,0.7390398979187012,2
Lysosomes,CELLULAR_COMPONENT,C0024369,1.0,2
Neural Stem Cells,CELL,C1113654,1.0,2
glycogen synthase kinase 3 beta,GENE_OR_GENE_PRODUCT,C0244988,1.0,2
Notch,GENE_OR_GENE_PRODUCT,C1235660,1.0,2
1-Phosphatidylinositol 3-Kinase,GENE_OR_GENE_PRODUCT,C0044602,1.0,2
Structure of entorhinal cortex,TISSUE,C0175196,0.8434757590293884,2
Structure of subthalamic nucleus,TISSUE,C0152355,1.0,2
Microtubule-Associated Proteins,GENE_OR_GENE_PRODUCT,C0026045,1.0,2
Presenilin-2,GENE_OR_GENE_PRODUCT,C0528480,1.0,2
neuronal,CELL,C0521390,1.0,2
Cullin Proteins,GENE_OR_GENE_PRODUCT,C1257952,1.0,2
rasagiline,SIMPLE_CHEMICAL,C0525678,1.0,2
Monoamine Oxidase,GENE_OR_GENE_PRODUCT,C0026454,1.0,2
BCL2 gene,GENE_OR_GENE_PRODUCT,C0376515,1.0,2
superoxide dismutase,GENE_OR_GENE_PRODUCT,C0038838,1.0,2
Cells,CELL,C0007634,1.0,2
SEPTIN5 wt Allele,GENE_OR_GENE_PRODUCT,C3273594,1.0,2
aluminum,SIMPLE_CHEMICAL,C0002367,0.9999999403953552,2
Heme Oxygenase-1,GENE_OR_GENE_PRODUCT,C0538674,1.0,2
curcumin,SIMPLE_CHEMICAL,C0010467,1.0,2
carbon monoxide,SIMPLE_CHEMICAL,C0007018,1.0,2
Bilirubin,SIMPLE_CHEMICAL,C0005437,1.0,2
luteinizing hormone,GENE_OR_GENE_PRODUCT,C0023607,1.0,2
Insulin,GENE_OR_GENE_PRODUCT,C0021641,1.0,2
ubidecarenone,SIMPLE_CHEMICAL,C0041536,1.0,2
Apolipoprotein E4,GENE_OR_GENE_PRODUCT,C0052201,1.0,2
Spinal Cord,ORGAN,C0037925,1.0,2
PC12 Cells,CELL,C0085262,1.0,2
caspase,GENE_OR_GENE_PRODUCT,C0010656,1.0,2
Mitogen-Activated Protein Kinases,GENE_OR_GENE_PRODUCT,C0752312,1.0,2
"HD protein, human",GENE_OR_GENE_PRODUCT,C0252274,1.0,2
Dependovirus,ORGANISM,C0001417,1.0,2
Genus: Lentivirus group,ORGANISM,C0079679,1.0,2
Helicobacter pylori,ORGANISM,C0079488,1.0,2
pyridoxine,SIMPLE_CHEMICAL,C0034272,1.0,2
vitamin B12,SIMPLE_CHEMICAL,C0042845,1.0,2
IL12A gene,GENE_OR_GENE_PRODUCT,C1334101,1.0,2
Cyclin-Dependent Kinases,GENE_OR_GENE_PRODUCT,C0243045,1.0,2
"Glutathione S-Transferase Theta-1, Human",GENE_OR_GENE_PRODUCT,C1447799,0.9241564273834229,2
Fibroblasts,CELL,C0016030,0.9999999403953552,2
phospholipids,CELLULAR_COMPONENT,C0031676,0.8365867733955383,2
ubiquitin-protein ligase,GENE_OR_GENE_PRODUCT,C0077678,0.8119190335273743,2
3-nitrotyrosine,SIMPLE_CHEMICAL,C0047645,1.0,2
Blood - brain barrier anatomy,TISSUE,C0005854,0.9999999403953552,2
Parkinsonian Disorders,ORGANISM_SUBDIVISION,C0242422,0.8515501022338867,2
GSTO1 gene,GENE_OR_GENE_PRODUCT,C1421933,1.0,2
GSTO2 gene,GENE_OR_GENE_PRODUCT,C1427885,1.0,2
Growth Hormone,ORGANISM,C0037663,1.0,2
SEPTIN6 gene,GENE_OR_GENE_PRODUCT,C1423771,1.0,2
beta catenin,GENE_OR_GENE_PRODUCT,C0105770,1.0,2
clozapine,SIMPLE_CHEMICAL,C0009079,1.0,2
olanzapine,SIMPLE_CHEMICAL,C0171023,1.0,2
HFE gene,GENE_OR_GENE_PRODUCT,C1384665,1.0,2
Green Fluorescent Proteins,GENE_OR_GENE_PRODUCT,C0120285,1.0,2
Nicotinic Receptors,SIMPLE_CHEMICAL,C0034830,1.0,2
memantine,SIMPLE_CHEMICAL,C0025242,1.0,2
Hydroxyl Radical,SIMPLE_CHEMICAL,C0063146,0.9999999403953552,2
Ferritin,GENE_OR_GENE_PRODUCT,C0015879,1.0,2
Structure of olfactory bulb,MULTI_TISSUE_STRUCTURE,C0028936,1.0,2
"Niemann-Pick Disease, Type C",CANCER,C0220756,0.9135292768478394,2
NPC1 gene,GENE_OR_GENE_PRODUCT,C1417776,1.0,2
Glial Fibrillary Acidic Protein,GENE_OR_GENE_PRODUCT,C0017626,1.0,2
Eye,ORGAN,C0015392,0.9999999403953552,2
Glucosides,SIMPLE_CHEMICAL,C0017765,0.7250155806541443,2
NF-kappa B,GENE_OR_GENE_PRODUCT,C0079904,1.0,2
nerve growth factor,GENE_OR_GENE_PRODUCT,C0027752,1.0,2
Antiparkinson Agents,SIMPLE_CHEMICAL,C0003405,1.0,1
superoxide dismutase 1,GENE_OR_GENE_PRODUCT,C0669516,0.7164021730422974,1
Cu-Zn Superoxide Dismutase,GENE_OR_GENE_PRODUCT,C0010461,1.0,1
caffeine,SIMPLE_CHEMICAL,C0006644,1.0,1
