entity,class,kb_id,link_confidence,mentions
alpha-Synuclein,GENE_OR_GENE_PRODUCT,C0285890,1.0,135
PINK1 gene,GENE_OR_GENE_PRODUCT,C1422771,1.0,78
Mitochondria,CELLULAR_COMPONENT,C0026237,1.0,73
Parkinson Disease,CANCER,C0030567,1.0,69
Lewy Bodies,CELLULAR_COMPONENT,C0085200,0.8892912268638611,59
ascorbic acid,SIMPLE_CHEMICAL,C0003968,1.0,58
PARK7 gene,GENE_OR_GENE_PRODUCT,C1424222,1.0,50
LRRK2 gene,GENE_OR_GENE_PRODUCT,C1425650,1.0,42
Alzheimer's Disease,CANCER,C0002395,1.0,40
Substantia nigra structure,TISSUE,C0038590,1.0,37
dopamine,SIMPLE_CHEMICAL,C0013030,1.0,34
"PARK2 protein, human",ORGANISM,C1311470,1.0,34
Amyloid beta-Peptides,GENE_OR_GENE_PRODUCT,C0078939,1.0,28
Ubiquitin,GENE_OR_GENE_PRODUCT,C0041538,1.0,26
amyloid-beta binding,GENE_OR_GENE_PRODUCT,C1149161,0.8892691135406494,24
UCHL1 gene,GENE_OR_GENE_PRODUCT,C1421309,1.0,17
Brain,ORGAN,C0006104,0.9999998807907104,15
"DNA, Mitochondrial",CELLULAR_COMPONENT,C0012929,1.0,14
calcium,SIMPLE_CHEMICAL,C0006675,0.9999999403953552,13
Reactive Oxygen Species,SIMPLE_CHEMICAL,C0162772,1.0,13
Amyloid,GENE_OR_GENE_PRODUCT,C0002716,1.0,13
levodopa,SIMPLE_CHEMICAL,C0023570,0.9999999403953552,13
Corticobasal Degeneration,CELLULAR_COMPONENT,C0393570,0.7854723334312439,11
CENTRAL NERVOUS SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS,ANATOMICAL_SYSTEM,C3540014,1.0,11
ATP13A2 gene,GENE_OR_GENE_PRODUCT,C1540215,1.0,11
Apolipoprotein E,GENE_OR_GENE_PRODUCT,C0003595,1.0,10
iron,SIMPLE_CHEMICAL,C0302583,1.0,10
Malignant Neoplasms,CANCER,C0006826,0.9999998807907104,10
Blood Vessel,MULTI_TISSUE_STRUCTURE,C0005847,1.0,9
APP wt Allele,ORGANISM,C1705543,1.0,9
PTEN gene,GENE_OR_GENE_PRODUCT,C0694888,1.0,9
Microglia,CELLULAR_COMPONENT,C0206116,1.0,9
Presenilin-1,GENE_OR_GENE_PRODUCT,C0299212,0.9999998807907104,8
Neurofibrillary degeneration (morphologic abnormality),CELLULAR_COMPONENT,C0085400,1.0,8
TARDBP gene,GENE_OR_GENE_PRODUCT,C1420588,1.0,7
Blood - brain barrier anatomy,TISSUE,C0005854,0.9999999403953552,7
Neurons,CELL,C0027882,0.7757095694541931,7
"HD protein, human",GENE_OR_GENE_PRODUCT,C0252274,1.0,6
BCL2 gene,GENE_OR_GENE_PRODUCT,C0376515,1.0,6
Huntington Disease,CANCER,C0020179,1.0,6
Lysosomes,CELLULAR_COMPONENT,C0024369,1.0,6
adenosine triphosphate,SIMPLE_CHEMICAL,C0001480,1.0,6
Dopaminergic Neurons,TISSUE,C1512035,0.7666611075401306,6
neuronal,CELL,C0521390,1.0,6
"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine",SIMPLE_CHEMICAL,C0000097,1.0,6
DNA,CELLULAR_COMPONENT,C0012854,0.9999999403953552,6
Pars Compacta,TISSUE,C0175412,1.0,5
"Drosophila <fruit fly, genus>",ORGANISM,C0013138,1.0,5
neuromelanin,GENE_OR_GENE_PRODUCT,C0068608,1.0,5
Glutamates,GENE_OR_GENE_PRODUCT,C0017789,1.0,5
Cerebrospinal Fluid,PATHOLOGICAL_FORMATION,C0007806,1.0,5
lysosomal,CELLULAR_COMPONENT,C0521450,1.0,5
Basal Ganglia,ANATOMICAL_SYSTEM,C0004781,1.0,5
SNCA gene,GENE_OR_GENE_PRODUCT,C1420276,1.0,5
Synphilin-1,GENE_OR_GENE_PRODUCT,C3541909,0.9999999403953552,5
Disease,CANCER,C0012634,1.0,5
Gaucher Disease,CANCER,C0017205,1.0,5
Cytochromes c,GENE_OR_GENE_PRODUCT,C0010749,1.0,5
Hippocampus (Brain),CELLULAR_COMPONENT,C0019564,0.8385079503059387,4
Endoplasmic Reticulum,CELLULAR_COMPONENT,C0014239,1.0,4
Presenilin-2,GENE_OR_GENE_PRODUCT,C0528480,1.0,4
Oxidopamine,SIMPLE_CHEMICAL,C0085196,1.0,4
beta-Synuclein,GENE_OR_GENE_PRODUCT,C0245467,1.0,4
cholesterol,SIMPLE_CHEMICAL,C0008377,1.0,4
Apolipoprotein E4,GENE_OR_GENE_PRODUCT,C0052201,1.0,4
3-iodobenzylguanidine,SIMPLE_CHEMICAL,C0047506,1.0,4
frontal lobe,CANCER,C0016733,0.9999999403953552,4
uridine triacetate,GENE_OR_GENE_PRODUCT,C0281351,1.0,4
TP53 gene,GENE_OR_GENE_PRODUCT,C0079419,1.0,4
acetylcholinesterase,GENE_OR_GENE_PRODUCT,C0001044,1.0,4
calcium ion,SIMPLE_CHEMICAL,C0596235,1.0,3
Plasma,ORGANISM_SUBSTANCE,C0032105,1.0,3
Progranulins,GENE_OR_GENE_PRODUCT,C0168913,1.0,3
APP gene,GENE_OR_GENE_PRODUCT,C1364818,1.0,3
"PARK7 protein, human",GENE_OR_GENE_PRODUCT,C0537311,0.9999998807907104,3
homocysteine,SIMPLE_CHEMICAL,C0019878,1.0,3
Cerebrovascular,TISSUE,C1880018,0.8557372093200684,3
Spinal Cord,ORGAN,C0037925,1.0,3
Drosophila melanogaster,ORGANISM,C0013139,1.0,3
gamma-Tubulin,GENE_OR_GENE_PRODUCT,C0017056,1.0,3
hydrogen peroxide,SIMPLE_CHEMICAL,C0020281,0.9999999403953552,3
Insulin,GENE_OR_GENE_PRODUCT,C0021641,1.0,3
Cerebral cortex,PATHOLOGICAL_FORMATION,C0007776,1.0,3
TNF gene,GENE_OR_GENE_PRODUCT,C0812246,1.0,3
Choose (action),ORGANISM,C1707391,1.0,3
8-Hydroxy-2'-Deoxyguanosine,SIMPLE_CHEMICAL,C0050078,1.0,3
Structure of olfactory bulb,MULTI_TISSUE_STRUCTURE,C0028936,1.0,3
CHRNA3 gene,GENE_OR_GENE_PRODUCT,C1413403,0.7732060551643372,3
"Neuronal Acetylcholine Receptor Subunit Beta-4, Human",GENE_OR_GENE_PRODUCT,C2698455,0.7936656475067139,3
nerve growth factor,GENE_OR_GENE_PRODUCT,C0027752,1.0,3
memantine,SIMPLE_CHEMICAL,C0025242,1.0,3
brain-derived neurotrophic factor,GENE_OR_GENE_PRODUCT,C0107103,1.0,3
methionine,SIMPLE_CHEMICAL,C0025646,1.0,3
Heart,ORGAN,C0018787,0.9999999403953552,3
Structure of putamen,ORGANISM,C0034169,0.9999999403953552,3
B3GAT1 gene,GENE_OR_GENE_PRODUCT,C1412716,0.7043194770812988,2
