subject,object,relation
PINK1 gene,Parkinson Disease,is associated with
LRRK2 gene,Corticobasal Degeneration,is associated with
alpha-Synuclein,Skin fibroblast,expression is induced in
Mitochondria,Reactive Oxygen Species,are exposed to
Amyloid beta-Peptides,neuromelanin,shares characteristics with
Amyloid beta-Peptides,Microglia,activates
neuromelanin,Microglia,activates
Microglia,Neoplasms,induces release of
Microglia,interleukin-6,induces release of
Microglia,nitric oxide,induces release of
alpha-Synuclein,Mitochondria,shows localization to
"PARK2 protein, human",Mitochondria,shows localization to
PINK1 gene,Mitochondria,shows localization to
PARK7 gene,Mitochondria,shows localization to
LRRK2 gene,Mitochondria,shows localization to
HTR2A gene,Mitochondria,shows localization to
Kynurenine,Kynurenic Acid,can change to
Kynurenine,Quinolinic Acid,can change to
Kynurenic Acid,N-Methylaspartate,has neuroprotective effects on
PINK1 gene,"PARK2 protein, human",acts upstream of
alpha-Synuclein,Substantia nigra structure,aggregates in
PINK1 gene,Parkinson Disease,is associated with
alpha-Synuclein,Lewy Bodies,can cause
Alzheimer's Disease,Amyloid beta-Peptides,is featured by deposition of
Alzheimer's Disease,alpha-Synuclein,is featured by deposition of
Alzheimer's Disease,Parkinson Disease,has overlap with
alpha-Synuclein,Parkinson Disease,causes
"PARK2 protein, human",Parkinson Disease,causes
UCHL1 gene,Parkinson Disease,causes
PINK1 gene,Parkinson Disease,causes
PARK7 gene,Parkinson Disease,causes
LRRK2 gene,Parkinson Disease,causes
alpha-Synuclein,Mitochondria,accumulates in
PARK7 gene,Mitochondria,associated with
PINK1 gene,Mitochondria,associated with
Mitochondria,adenosine triphosphate,produce
Mitochondria,calcium,sequester
alpha-Synuclein,alpha-Synuclein,forms oligomer and aggregate
LRRK2 gene,Parkinson Disease,causes
alpha-Synuclein,Parkinson Disease,causes
PARK7 gene,Parkinson Disease,causes
PINK1 gene,Parkinson Disease,causes
APP gene,Alzheimer's Disease,implicated in
Psen,Alzheimer's Disease,implicated in
SORL1 gene,Alzheimer's Disease,associated with
PINK1 gene,Mitochondria,is associated with
PARK7 gene,Mitochondria,is associated with
alpha-Synuclein,Mitochondria,is associated with
iron,Amyloid beta-Protein Precursor,modulate
Amyloid beta-Protein Precursor,iron,translate
alpha-Synuclein,iron,translate
"PSEN1 protein, human",Presenilin-1,encodes
"PSEN2 protein, human",Presenilin-2,encodes
Endothelial Cells,Blood - brain barrier anatomy,part of
PARK7 gene,Malignant Neoplasms,is a biomarker for
ubiquitin C-terminal hydrolase,protein autoubiquitination,stabilizing
Lysosomes,Mitochondria,are responsible for maintaining
"PARK2 protein, human",Mitochondria,protects
Alzheimer's Disease,amyloid-beta binding,associated with
Mitochondria,amyloid-beta binding,target of
APP gene,Mitochondria,accumulate in
alpha-Synuclein,Mitochondria,accumulate in
APP wt Allele,Mitochondria,transport into
alpha-Synuclein,Parkinson Disease,causes
alpha-Synuclein,Dopaminergic Neurons,accumulates in
Lysosomes,Autophagic vaculoes (finding),accumulate
PINK1 gene,"PARK2 protein, human",interacts with
latrepirdine,Mitochondria,has an action on
PINK1 gene,Mitochondria,is localized to
alpha-Synuclein,Parkinson Disease,is detected
alpha-Synuclein,Parkinson Disease,leads to
alpha-Synuclein,alpha-Synuclein,misfolding of
Parkinson Disease,alpha-Synuclein,has genetic component
Parkinson Disease,"PARK2 protein, human",has genetic component
Parkinson Disease,PINK1 gene,has genetic component
Parkinson Disease,PARK7 gene,has genetic component
Parkinson Disease,LRRK2 gene,has genetic component
Parkinson Disease,Mitochondria,involves
cholesterol,"Niemann-Pick Disease, Type C",is involved in the pathogenesis of
cholesterol,alpha-Synuclein,interacts with
cholesterol,NPC1 gene,interacts with
cholesterol,NPC2 gene,interacts with
PINK1 gene,Mitochondria,localizes to
Reactive Oxygen Species,Brain,produced in
"Lamr1 protein, human",Sindbis Virus,acts as a receptor for
"Lamr1 protein, human","Encephalomyelitis, Equine",acts as a receptor for
"Lamr1 protein, human",Dengue Virus,acts as a receptor for
"Lamr1 protein, human",Malignant Neoplasms,represents an alternative target for therapy of
alpha-Synuclein,Parkinson Disease,is involved in
PARK7 gene,Parkinson Disease,is involved in
Pink color,Parkinson Disease,is involved in
LRRK2 gene,Parkinson Disease,is involved in
alpha-Synuclein,beta-Synuclein,is distinct from
SKP1 gene,1-Methyl-4-phenylpyridinium,silencing resulted in increased susceptibility to
alpha-Synuclein,Parkinson Disease,mutations cause
PINK1 gene,Parkinson Disease,mutations cause
PARK7 gene,Parkinson Disease,mutations cause
LRRK2 gene,Parkinson Disease,mutations cause
Mitochondria,Amyloid beta-Peptides,enters
polyphenols,iron,are
SKP1 gene,Substantia nigra structure,is decreased in
Lewy Bodies,alpha-Synuclein,is thought to be related to
Lewy Bodies,Lewy Bodies,is a presentation of
alpha-Synuclein,Lewy Bodies,involved in
Synphilin-1,Lewy Bodies,involved in
Lewy Bodies,Alzheimer's Disease,compared with
alpha-Synuclein,Lewy Bodies,affected in
Synphilin-1,Parkinson Disease,affected in
amyloid-beta binding,Alzheimer's Disease,associated with
"ABeta amyloidosis, Arctic type",amyloid-beta binding,accelerates fibrillization of
Amyloid beta-Protein Precursor,amyloid-beta binding,produces
"HD protein, human",Huntington Disease,cause
alpha-Synuclein,Parkinson Disease,cause
lithium,glycogen synthase kinase 3 beta,inhibits
"4-benzyl-2-methyl-1,2,4-thiadiazolidine-3,5-dione",glycogen synthase kinase 3 beta,inhibits
Mitochondria,Cardiomyopathies,are involved in
Mitochondria,Malignant Neoplasms,are involved in
Mitochondria,adenosine triphosphate,produce
Synphilin-1,alpha-Synuclein,interacts with
Lewy Bodies,Alzheimer's Disease,coexist with
"Cytochrome C, human",Amyloid,involved in
PARK7 gene,alpha-Synuclein,interacts with
PARK7 gene,PINK1 gene,interacts with
mortalin,TP53 gene,inhibits
Mitochondria,calcium,accumulate
PINK1 gene,Parkinson Disease,contribute to
PINK1 gene,Mitochondria,regulate
epigallocatechin gallate,Alzheimer's Disease,may decrease the incidence of
epigallocatechin gallate,Parkinson Disease,may decrease the incidence of
Monoamine Oxidase,serotonin,catalyze the oxidative deamination of
