entity,class,kb_id,link_confidence,mentions
alpha-Synuclein,GENE_OR_GENE_PRODUCT,C0285890,1.0,116
ascorbic acid,SIMPLE_CHEMICAL,C0003968,1.0,111
Lewy Bodies,CELLULAR_COMPONENT,C0085200,0.8892912268638611,64
Amyloid beta-Peptides,GENE_OR_GENE_PRODUCT,C0078939,1.0,51
Substantia nigra structure,TISSUE,C0038590,1.0,40
Alzheimer's Disease,CANCER,C0002395,1.0,38
Ubiquitin,GENE_OR_GENE_PRODUCT,C0041538,1.0,35
Parkinson Disease,CANCER,C0030567,1.0,35
dopamine,SIMPLE_CHEMICAL,C0013030,1.0,33
Brain,ORGAN,C0006104,0.9999998807907104,32
"PARK2 protein, human",ORGANISM,C1311470,1.0,20
Apolipoprotein E,GENE_OR_GENE_PRODUCT,C0003595,1.0,20
Mitochondria,CELLULAR_COMPONENT,C0026237,1.0,18
Corticobasal Degeneration,CELLULAR_COMPONENT,C0393570,0.7854723334312439,18
Neurons,CELLULAR_COMPONENT,C0027882,1.0,16
Neurofibrillary degeneration (morphologic abnormality),CELLULAR_COMPONENT,C0085400,1.0,15
levodopa,SIMPLE_CHEMICAL,C0023570,0.9999999403953552,15
iron,SIMPLE_CHEMICAL,C0302583,1.0,15
Blood Vessel,MULTI_TISSUE_STRUCTURE,C0005847,1.0,13
Microglia,CELLULAR_COMPONENT,C0206116,1.0,13
Choose (action),ORGANISM,C1707391,1.0,12
CENTRAL NERVOUS SYSTEM DIAGNOSTIC RADIOPHARMACEUTICALS,ANATOMICAL_SYSTEM,C3540014,1.0,12
frontal lobe,MULTI_TISSUE_STRUCTURE,C0016733,1.0,12
Reactive Oxygen Species,SIMPLE_CHEMICAL,C0162772,1.0,11
Amyloid,GENE_OR_GENE_PRODUCT,C0002716,1.0,10
Presenilins,GENE_OR_GENE_PRODUCT,C0872078,0.9999998807907104,10
ubiquitin C-terminal hydrolase,GENE_OR_GENE_PRODUCT,C0164005,0.8382722735404968,10
"DNA, Mitochondrial",CELLULAR_COMPONENT,C0012929,1.0,9
APP wt Allele,ORGANISM,C1705543,1.0,8
Lewy Neurites,TISSUE,C3548404,1.0,8
DNA,CELLULAR_COMPONENT,C0012854,0.9999999403953552,8
Basal Ganglia,ANATOMICAL_SYSTEM,C0004781,1.0,8
Pars Compacta,TISSUE,C0175412,1.0,8
acetylcholinesterase,GENE_OR_GENE_PRODUCT,C0001044,1.0,7
Neuroglia,CELL,C0027836,1.0,7
Cholinesterases,SIMPLE_CHEMICAL,C0008429,1.0,7
"HD protein, human",GENE_OR_GENE_PRODUCT,C0252274,1.0,7
Structure of entorhinal cortex,TISSUE,C0175196,0.8434757590293884,7
Malignant Neoplasms,CANCER,C0006826,0.9999998807907104,7
"Anti-Inflammatory Agents, Non-Steroidal",GENE_OR_GENE_PRODUCT,C0003211,1.0,7
Astrocytes,CELL,C0004112,1.0,7
Cerebral cortex,PATHOLOGICAL_FORMATION,C0007776,1.0,7
"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine",SIMPLE_CHEMICAL,C0000097,1.0,6
Cell Nucleus,CELLULAR_COMPONENT,C0007610,1.0,6
serotonin,SIMPLE_CHEMICAL,C0036751,0.9999998807907104,6
APP gene,GENE_OR_GENE_PRODUCT,C1364818,1.0,6
uridine triacetate,GENE_OR_GENE_PRODUCT,C0281351,1.0,6
amyloid-beta binding,GENE_OR_GENE_PRODUCT,C1149161,0.8892691135406494,5
cholesterol,SIMPLE_CHEMICAL,C0008377,1.0,5
aluminum,SIMPLE_CHEMICAL,C0002367,0.9999999403953552,5
Presenilin-1,GENE_OR_GENE_PRODUCT,C0299212,0.9999998807907104,5
Structure of putamen,ORGANISM,C0034169,0.9999999403953552,5
Caudate nucleus structure,TISSUE,C0007461,1.0,5
Hydroxymethylglutaryl-CoA Reductase Inhibitors,SIMPLE_CHEMICAL,C0360714,1.0,5
"UBE2L3 protein, human",GENE_OR_GENE_PRODUCT,C0753687,1.0,5
Synphilin-1,GENE_OR_GENE_PRODUCT,C3541909,0.9999999403953552,5
UCHL1 gene,GENE_OR_GENE_PRODUCT,C1421309,1.0,5
acetylcholine,GENE_OR_GENE_PRODUCT,C0001041,1.0,4
Cu-Zn Superoxide Dismutase,GENE_OR_GENE_PRODUCT,C0010461,1.0,4
Huntington Disease,CANCER,C0020179,1.0,4
Adrenal Cortex Diseases,CANCER,C0001614,1.0,4
Neuroblastoma,CELL,C0027819,0.845426082611084,4
caspase,GENE_OR_GENE_PRODUCT,C0010656,1.0,4
ubiquitin-protein ligase,GENE_OR_GENE_PRODUCT,C0077678,0.7128848433494568,4
26S proteasome,GENE_OR_GENE_PRODUCT,C0286330,0.9999999403953552,4
norepinephrine,SIMPLE_CHEMICAL,C0028351,1.0,4
Monoamine Oxidase B,SIMPLE_CHEMICAL,C0026456,1.0,4
hydrogen peroxide,SIMPLE_CHEMICAL,C0020281,0.9999999403953552,4
PRKN gene,GENE_OR_GENE_PRODUCT,C1418270,0.9999999403953552,4
Neocortex,ORGANISM,C0175173,1.0,4
nitric oxide,GENE_OR_GENE_PRODUCT,C0028128,0.9999999403953552,4
