subject,object,relation
alpha-Synuclein,Lewy Bodies,is associated with
alpha-Synuclein,Synphilin-1,interacts with
alpha-Synuclein,dopamine,interacts with
superoxide dismutase 1,Cu-Zn Superoxide Dismutase,has mutation in
Parkinson Disease,levodopa,treated with
Parkinson Disease,dopamine,treated with
Parkinson Disease,alpha-Synuclein,has pathophysiology related to
Parkinson Disease,SNCA gene,is attributable to a mutation in
Parkinson Disease,PRKN gene,is attributable to a mutation in
Parkinson Disease,"PARK7 protein, human",is attributable to a mutation in
SNCA gene,alpha-Synuclein,is
"PARK7 protein, human",PARK7 gene,is
Amyloid beta-Peptides,neuromelanin,shares characteristics with
Amyloid beta-Peptides,Microglia,activates
neuromelanin,Microglia,activates
Microglia,Neoplasms,induces release of
Microglia,interleukin-6,induces release of
Microglia,nitric oxide,induces release of
Kynurenine,Kynurenic Acid,can change to
Kynurenine,Quinolinic Acid,can change to
Kynurenic Acid,N-Methylaspartate,has neuroprotective effects on
alpha-Synuclein,alpha-Synuclein,aggregate
alpha-Synuclein,Lewy Bodies,is associated with
alpha-Synuclein,Brain,is associated with
APP wt Allele,Microglia,activate
Amyloid beta-Peptides,Brain,is removed from
Ubiquitin,26S proteasome,is signal for
glycogen synthase kinase 3 beta,Presenilins,interact with
glycogen synthase kinase 3 beta,Amyloid beta-Peptides,interact with
Lewy Bodies,Lewy Neurites,has
Lewy Bodies,Cholinesterases,is treated with
PARK7 gene,Mitochondria,associated with
PINK1 gene,Mitochondria,associated with
PARK7 gene,Mitochondria,may have protective effects on
PINK1 gene,Mitochondria,may have protective effects on
Mitochondria,adenosine triphosphate,produce
Mitochondria,calcium,sequester
PARK7 gene,SUMO1 gene,might interact with
Mitochondria,Parkinson Disease,have been identified in
Brain,Globus Pallidus,is applied in
Brain,Structure of subthalamic nucleus,is applied in
alpha-Synuclein,glial cytoplasmic inclusion,released by
alpha-Synuclein,calcium ion,binds to
Amyloid beta-Peptides,Endoplasmic Reticulum,accumulates in
Cytochromes c,Mitochondrial Membranes,is released from
rotenone,Microtubules,disrupts
rotenone,Microtubules,depolymerizes
alpha-Synuclein,Synphilin-1,interacts with
alpha-Synuclein,UCHL1 gene,interacts with
Presenilin-1,Amyloid beta-Peptides,mutation of
Presenilin-2,Amyloid beta-Peptides,mutation of
Apolipoprotein E,Amyloid beta-Peptides,mutation of
Ladostigil,Monoamine Oxidase,inhibits
Ladostigil,Cholinesterases,inhibits
Ladostigil,Lewy Bodies,treats
alpha-Synuclein,Parkinson Disease,causes
alpha-Synuclein,Dopaminergic Neurons,accumulates in
Presenilin-1,APP gene,cleave
ibuprofen,nitric oxide,decreases the production of
PINK1 gene,Mitochondria,is localized to
pioglitazone,Substantia nigra structure,protect
minocycline,Substantia nigra structure,protect
Parkinson Disease,alpha-Synuclein,has genetic component
Parkinson Disease,"PARK2 protein, human",has genetic component
Parkinson Disease,PINK1 gene,has genetic component
Parkinson Disease,PARK7 gene,has genetic component
Parkinson Disease,LRRK2 gene,has genetic component
Parkinson Disease,Mitochondria,involves
"DNA, Mitochondrial",Heart,plays an important role in the pathogenesis of
"DNA, Mitochondrial",Malignant Neoplasms,plays an important role in the pathogenesis of
Reactive Oxygen Species,"DNA, Mitochondrial",damage
Presenilins,Notch,cleaves
Neurofibrillary degeneration (morphologic abnormality),uridine triacetate,consist of
Mitochondria,Amyloid beta-Peptides,enters
alpha-Synuclein,Lewy Bodies,is present in
Synphilin-1,alpha-Synuclein,interacts with
"LCN2 protein, human",Cyclin-Dependent Kinases,overactivates
"LCN2 protein, human",IL12A gene,derives from
Lewy Bodies,Alzheimer's Disease,coexist with
Parkinson Disease,alpha-Synuclein,has genetic testing
