subject,object,relation
acetylcholinesterase,acetylcholinesterase,inhibit
acetylcholinesterase,amyloid-beta binding,interact with
acetylcholinesterase,amyloid-beta binding,increase deposition of
alpha-Synuclein,Lewy Neurites,is a major component of
alpha-Synuclein,phospholipids,interacts with
"PARK2 protein, human",SEPTIN5 wt Allele,was found to be a substrate for
alpha-Synuclein,Lewy Bodies,is associated with
Lewy Neurites,alpha-Synuclein,are made of
APP wt Allele,Ganglioside GM1,binds to
caffeine,Parkinson Disease,contributes to
levodopa,Parkinson Disease,treats
alpha-Synuclein,Parkinson Disease,associated with
alpha-Synuclein,Neuroglia,accumulates in
alpha-Synuclein,Ubiquitin,binds to
alpha-Synuclein,Lewy Bodies,is associated with
alpha-Synuclein,Brain,is associated with
alpha-Synuclein,Lewy Bodies,is associated with
Lewy Neurites,alpha-Synuclein,are made of
Lewy Bodies,alpha-Synuclein,is associated with
Lewy Bodies,Lewy Neurites,has
Lewy Bodies,Cholinesterases,is treated with
"HD protein, human",Huntington Disease,associated with
Mitochondria,Alzheimer's Disease,involved in
Amyloid beta-Peptides,Presenilin-1,interacts with
Amyloid beta-Peptides,Presenilin-2,interacts with
Amyloid beta-Peptides,alpha-Synuclein,interacts with
alpha-Synuclein,Parkinson Disease,cause
Presenilins,Amyloid beta-Peptides,is involved in generating
BAX gene,Truncated BID,interacts with
BAX gene,BAX gene,promotes expression and/or intracellular distribution of
alpha-Synuclein,Lewy Bodies,aggregates within
Amyloid beta-Peptides,Endoplasmic Reticulum,accumulates in
Amyloid beta-Peptides,alpha-Synuclein,interacts with
Amyloid beta-Peptides,Neurofibrillary degeneration (morphologic abnormality),induces
rotenone,Parkinson Disease,causes
levodopa,Parkinson Disease,can substantially reduce clinical symptoms of
Amyloid beta-Peptides,Senile Plaques,is converted to
Presenilins,Alzheimer's Disease,are associated with
Presenilins,Amyloid beta-Peptides,process
Presenilins,beta catenin,interact with
iron,Reactive Oxygen Species,enhance production of
iron,alpha-Synuclein,induce aggregation and toxicity of
iron,alpha-Synuclein,interact with
Apolipoprotein E,Cardiovascular system,implicated in
Kynurenine,Quinolinic Acid,leads to production of
pioglitazone,Substantia nigra structure,protect
minocycline,Substantia nigra structure,protect
hydrogen peroxide,DNA,causes damage to
Cerebrovascular Circulation,Craniocerebral Trauma,is decreased by
Cerebrovascular Circulation,"Anti-Inflammatory Agents, Non-Steroidal",is increased by
